iter	Passed	Remaining
703	8907	3745
704	8919	3732
705	8930	3719
706	8941	3705
707	8954	3693
708	8966	3680
709	8979	3667
710	8992	3655
711	9005	3642
712	9024	3632
713	9035	3619
714	9050	3607
715	9062	3594
716	9077	3582
717	9090	3570
718	9104	3558
719	9119	3546
720	9130	3533
721	9152	3524
722	9168	3512
723	9182	3500
724	9197	3488
725	9212	3476
726	9226	3464
727	9239	3452
728	9254	3440
729	9268	3427
730	9281	3415
731	9293	3402
732	9307	3390
733	9320	3377
734	9333	3365
735	9346	3352
736	9361	3340
737	9379	3329
738	9393	3317
739	9406	3304
740	9419	3292
741	9432	3279
742	9445	3267
743	9457	3254
744	9472	3242
745	9485	3229
746	9501	3217
747	9515	3205
748	9527	3192
749	9540	3180
750	9555	3168
751	9569	3155
752	9582	3143
753	9594	3130
754	9607	3117
755	9620	3105
756	9633	3092
757	9648	3080
758	9659	3067
759	9672	3054
760	9683	3041
761	9694	3028
762	9705	3014
763	9717	3001
764	9730	2989
765	9742	2976
766	9756	2963
767	9769	2951
768	9782	2938
769	9795	2926
770	9807	2912
771	9820	2900
772	9833	2887
773	9846	2875
774	9860	2862
775	9872	2849
776	9884	2836
777	9896	2823
778	9908	2810
779	9920	2798
780	9932	2785
781	9942	2771
782	9954	2758
783	9966	2745
784	9978	2732
785	9989	2719
786	10000	2706
787	10012	2693
788	10023	2680
789	10034	2667
790	10050	2655
791	10114	2656
792	10148	2649
793	10160	2636
794	10176	2624
795	10187	2610
796	10199	2597
797	10211	2584
798	10222	2571
799	10236	2559
800	10247	2545
801	10260	2533
802	10271	2519
803	10281	2506
804	10293	2493
805	10304	2480
806	10315	2467
807	10326	2453
808	10340	2441
809	10352	2428
810	10363	2415
811	10374	2401
812	10385	2388
813	10396	2375
814	10408	2362
815	10419	2349
816	10431	2336
817	10443	2323
818	10456	2310
819	10467	2297
820	10478	2284
821	10489	2271
822	10502	2258
823	10515	2245
824	10526	2232
825	10540	2220
826	10558	2208
827	10568	2195
828	10581	2182
829	10594	2169
830	10606	2156
831	10618	2144
832	10638	2132
833	10666	2123
834	10680	2110
835	10698	2098
836	10711	2086
837	10723	2073
838	10735	2060
839	10746	2047
840	10759	2034
841	10777	2022
842	10796	2010
843	10813	1998
844	10833	1987
845	10849	1974
846	10861	1961
847	10872	1948
848	10883	1935
849	10894	1922
850	10905	1909
851	10917	1896
852	10928	1883
853	10941	1870
854	10955	1858
855	10968	1845
856	10980	1832
857	10993	1819
858	11006	1806
859	11019	1793
860	11031	1780
861	11046	1768
862	11059	1755
863	11072	1742
864	11086	1730
865	11097	1717
866	11110	1704
867	11125	1691
868	11138	1679
869	11151	1666
870	11165	1653
871	11177	1640
872	11190	1627
873	11203	1615
874	11220	1602
875	11251	1592
876	11265	1580
877	11279	1567
878	11292	1554
879	11306	1541
880	11320	1529
881	11335	1516
882	11350	1503
883	11369	1491
884	11387	1479
885	11400	1466
886	11415	1454
887	11429	1441
888	11442	1428
889	11455	1415
890	11468	1403
891	11480	1390
892	11493	1377
893	11506	1364
894	11518	1351
895	11530	1338
896	11541	1325
897	11555	1312
898	11567	1299
899	11578	1286
900	11591	1273
901	11602	1260
902	11613	1247
903	11625	1234
904	11637	1221
905	11648	1208
906	11663	1195
907	11675	1182
908	11687	1170
909	11701	1157
910	11713	1144
911	11725	1131
912	11736	1118
913	11751	1105
914	11766	1093
915	11778	1080
916	11790	1067
917	11804	1054
918	11817	1041
919	11829	1028
920	11842	1015
921	11857	1003
922	11870	990
923	11882	977
924	11893	964
925	11905	951
926	11919	938
927	11931	925
928	11943	912
929	11957	900
930	11969	887
931	11981	874
932	11993	861
933	12005	848
934	12018	835
935	12031	822
936	12045	809
937	12059	797
938	12072	784
939	12085	771
940	12101	758
941	12114	745
942	12126	732
943	12138	720
944	12151	707
945	12166	694
946	12178	681
947	12191	668
948	12205	655
949	12217	643
950	12230	630
951	12242	617
952	12253	604
953	12266	591
954	12278	578
955	12289	565
956	12301	552
957	12312	539
958	12323	526
959	12335	513
960	12346	501
961	12361	488
962	12373	475
963	12384	462
964	12395	449
965	12407	436
966	12418	423
967	12430	410
968	12440	398
969	12451	385
970	12464	372
971	12475	359
972	12486	346
973	12499	333
974	12510	320
975	12521	307
976	12533	295
977	12544	282
978	12558	269
979	12569	256
980	12580	243
981	12592	230
982	12603	217
983	12614	205
984	12625	192
985	12636	179
986	12646	166
987	12661	153
988	12671	140
989	12682	128
990	12695	115
991	12705	102
992	12717	89
993	12729	76
994	12741	64
995	12752	51
996	12765	38
997	12776	25
998	12787	12
999	12799	0
